DATEPRD,NPD_WELL_BORE_NAME,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_WHP_P,ON_STREAM_HRS,anomaly_status
2016-09-17,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-16,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-15,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-14,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-13,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-12,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-11,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-10,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-09,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-08,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-07,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-06,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-05,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-04,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-03,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-02,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
2016-09-01,15/9-F-15 D,0.0,0.0,0.0,345.90677,90.03433,0.0,0.0,Anomaly
