month,oil,gas,water
2007-09-01,,,
2007-10-01,,,
2007-11-01,,,
2007-12-01,,,
2008-01-01,,,
2008-02-01,49091.06000000001,7068009.29,412.60999999999996
2008-03-01,83361.26000000001,12191170.910000002,27.42
2008-04-01,74532.44999999998,11506440.739999998,482.05000000000007
2008-05-01,125478.56,19091871.519999996,16280.12
2008-06-01,143786.85,21512333.930000003,474.36999999999995
2008-07-01,166279.69000000003,24655302.85,416.1899999999999
2008-08-01,165443.66000000003,23923540.579999994,576.71
2008-09-01,192263.21000000005,27526459.160000008,464.12
2008-10-01,237174.2899999999,33757700.269999996,725.3000000000001
2008-11-01,250325.16999999984,35743142.269999996,2580.1999999999994
2008-12-01,276638.95,40062615.19,1069.85
2009-01-01,269249.82,38973679.34999998,1367.5500000000002
2009-02-01,235785.99,33681428.980000004,2529.2399999999993
2009-03-01,183603.15000000005,25826010.21000001,1678.17
2009-04-01,237899.73999999996,32857763.990000002,1492.7600000000004
2009-05-01,257214.04999999996,35311402.26,6546.540000000001
2009-06-01,219083.74,29929356.760000005,8389.809999999996
2009-07-01,170977.06999999998,23849827.69,10062.169999999998
2009-08-01,224907.7700000001,31340971.769999992,25817.78999999999
2009-09-01,180448.69,25118054.93,17509.92
2009-10-01,223646.9700000001,31376279.099999998,32911.85
2009-11-01,234059.1799999999,33003467.24,50303.320000000014
2009-12-01,247515.86999999994,34713770.230000004,73494.62
2010-01-01,231880.08,32605905.939999998,100234.43000000001
2010-02-01,165118.97999999995,23271838.230000008,105215.90999999999
2010-03-01,168560.86,23700324.159999996,118559.34999999998
2010-04-01,159289.41999999995,22449616.350000005,137861.4
2010-05-01,164922.84,23460677.209999997,159753.75000000006
2010-06-01,144927.19000000003,20701111.07,179849.27999999997
2010-07-01,133639.93999999997,19356911.120000005,196270.50000000006
2010-08-01,68531.09,9889756.53,111240.55
2010-09-01,106718.14,16010763.069999998,155935.62
2010-10-01,130185.89,19595223.82,200492.00999999998
2010-11-01,107023.93,16232426.319999998,199205.63000000003
2010-12-01,109104.19,16673819.99,222976.35
2011-01-01,106075.0,16177205.299999999,228053.55999999994
2011-02-01,73223.80000000002,11349336.66,164766.30999999997
2011-03-01,94105.01,14493974.179999998,230737.58000000005
2011-04-01,89633.95999999998,13929703.750000004,238249.97999999995
2011-05-01,88326.33000000003,13774667.97,248899.3299999999
2011-06-01,53220.57,8247937.919999998,155822.21000000005
2011-07-01,32673.729999999992,4888317.280000002,73899.64
2011-08-01,86110.43000000001,13128124.42,207939.64
2011-09-01,81052.29999999996,12587790.94,244429.44999999998
2011-10-01,34454.73,5326002.63,109363.67000000001
2011-11-01,56832.93999999999,8623671.26,149359.31999999998
2011-12-01,52256.599999999984,7793463.030000001,139119.59
2012-01-01,45527.08,6878732.169999998,121376.09000000001
2012-02-01,64159.920000000006,9888483.76,189230.76999999996
2012-03-01,61425.47,9654374.59,202409.91999999995
2012-04-01,60598.13999999999,9539380.009999998,210923.66999999993
2012-05-01,57467.11000000001,9126346.2,223080.73999999987
2012-06-01,52552.93,8375057.64,214265.43999999994
2012-07-01,54167.64,8626031.17,224134.09
2012-08-01,21688.08,3350388.6,88043.93999999999
2012-09-01,2669.01,402901.43000000005,7431.2699999999995
2012-10-01,53556.87000000001,8222643.25,181378.81000000003
2012-11-01,53950.53999999999,8572125.07,222135.99999999994
2012-12-01,46443.53999999999,7572179.069999999,225190.88999999996
2013-01-01,47593.37,7715896.16,239568.3599999999
2013-02-01,41682.909999999996,6657580.37,218446.02999999994
2013-03-01,25122.33,3837458.410000001,127739.48000000003
2013-04-01,35226.76000000001,5731548.8100000005,182395.69
2013-05-01,43974.93000000001,7283687.289999999,256717.88999999996
2013-06-01,34197.83,5689962.72,205972.31000000003
2013-07-01,38387.490000000005,6063603.54,206762.02999999997
2013-08-01,62310.15,9485747.350000001,244968.09000000003
2013-09-01,50869.32999999998,7816249.580000001,198929.07000000004
2013-10-01,60860.61999999997,9313442.970000003,236214.71999999994
2013-11-01,61805.570000000014,9370028.069999997,230522.28000000006
2013-12-01,55981.24,8622571.34,228129.84
2014-01-01,61910.81999999999,9207271.110000005,198099.49000000002
2014-02-01,56956.100000000006,8534705.150000002,209569.50999999992
2014-03-01,62162.75999999997,9348667.9,232544.58
2014-04-01,76198.75000000009,11256658.870000003,250131.56000000008
2014-05-01,83827.16000000006,11826032.320000004,193400.42
2014-06-01,79538.14000000007,11707630.909999998,263607.72
2014-07-01,74981.24999999994,11183245.920000004,265124.32999999996
2014-08-01,49375.58000000001,7646877.090000001,220051.20000000004
2014-09-01,62389.41999999999,9788352.360000001,263983.7899999999
2014-10-01,64514.57999999998,9978066.259999998,281164.6299999999
2014-11-01,52919.61000000002,8273447.670000002,234876.26
2014-12-01,18333.32,3040919.02,103517.42999999996
2015-01-01,81246.37000000001,11980379.170000006,127532.26000000004
2015-02-01,66272.5,10025732.79,132024.95000000004
2015-03-01,81739.34999999999,12032559.439999994,158014.47
2015-04-01,90223.61999999997,13155179.899999993,156084.03
2015-05-01,87064.13999999997,12700588.279999997,159023.07000000007
2015-06-01,83847.62999999999,12276974.830000002,171001.63000000003
2015-07-01,73995.25000000001,10999937.319999993,177540.01
2015-08-01,56296.42,8524505.93,150286.71
2015-09-01,63097.12999999999,9518188.480000004,175742.26000000004
2015-10-01,57680.900000000016,8789914.699999996,191205.98000000007
2015-11-01,60469.32999999999,9256115.090000005,205204.96999999997
2015-12-01,59816.419999999984,9163768.010000004,206165.52000000008
2016-01-01,51576.90999999998,8075648.689999998,221783.43000000008
2016-02-01,47367.82000000001,7468629.009999998,210058.55000000005
2016-03-01,42802.43999999998,6900266.92,233709.34
2016-04-01,32310.039999999997,5287855.050000002,199502.65999999997
2016-05-01,39030.24999999999,6157954.410000001,208962.59000000008
2016-06-01,35659.33999999999,5738861.409999998,202455.94999999995
2016-07-01,31059.420000000006,4989889.870000002,148543.31000000003
2016-08-01,24954.66,3991207.770000001,101071.19000000005
2016-09-01,8609.18,1458816.3499999999,46779.39
2016-10-01,,,
2016-11-01,,,
2016-12-01,,,
